underlying,symbol,leg_type,net_notional_usd,gross_notional_usd
CLSK,CLSK,underlying,-3800.6951276743252,3800.6951276743252
CLSK,CLSZ,etf,5803.74456606,5803.74456606
CRWV,CRWV,underlying,0.0,0.0
DIA,DIA,underlying,-8770.633140487887,8770.633140487887
DIA,DXD,etf,8510.99007732,8510.99007732
DIA,SDOW,etf,9653.207222879999,9653.207222879999
IBIT,IBIT,underlying,0.0,0.0
IREN,IREN,underlying,0.0,0.0
MSTR,MSTR,underlying,0.0,0.0
NBIS,NBIS,underlying,0.0,0.0
NVDA,NVDA,underlying,0.0,0.0
QQQ,QQQ,underlying,0.0,0.0
QQQ,QID,etf,8549.170340829998,8549.170340829998
SPY,SPY,underlying,0.0,0.0
XLE,XLE,underlying,0.0,0.0
XLF,XLF,underlying,0.0,0.0
XLK,XLK,underlying,-8384.275672174814,8384.275672174814
XLK,TTXD,etf,8108.436714547,8108.436714547
XLK,WEBS,etf,8574.11309304,8574.11309304
XOP,XOP,underlying,0.0,0.0
XRPZ,XRPZ,underlying,0.0,0.0
