ETF,Underlying,Leverage,cagr_port_hist,LevType,borrow_current,shares_available,borrow_spiking,cagr_positive,borrow_leq_cap,borrow_gt_cap,exclude_borrow_gt_cap_and_neg_cagr,exclude_no_shares,exclude_borrow_spike,include_for_algo,long_usd,short_usd,strategy_tag
AAPU,AAPL,2.0,0.0239381165742087,2x,0.041828,65000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
AMUU,AMD,2.0,0.0509792800636172,2x,0.009974,65000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
AMZU,AMZN,2.0,0.0393047404419382,2x,0.073422,150000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
AVL,AVGO,2.0,-0.0242579499875311,2x,0.1278719999999999,350000,False,False,False,True,True,False,False,False,0.0,0.0,ETF_LS
BITX,IBIT,2.0,0.0729968856353815,2x,0.077038,700000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
BOEU,BA,2.0,-0.0122567603423263,2x,0.132518,75000,False,False,False,True,True,False,False,False,0.0,0.0,ETF_LS
BRKU,BRK-B,2.0,0.0297158562611077,2x,,0,False,True,False,True,False,True,False,False,0.0,0.0,ETF_LS
BULU,BULL,2.0,0.0513537231687322,2x,0.344124,9000,False,True,False,True,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
CSCL,CSCO,2.0,0.0450367538398204,2x,0.093868,8000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
ELIL,LLY,2.0,0.0331162721432438,2x,0.055144,10000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
ETHU,ETHA,2.0,0.105383802383399,2x,0.01983,1300000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
FRDU,F,2.0,0.0342456415578906,2x,0.202118,200,False,True,False,True,False,True,False,False,0.0,0.0,ETF_LS
GGLL,GOOGL,2.0,0.0592816536042732,2x,0.0326,300000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
GMEU,GME,2.0,-0.0175652655077385,2x,0.472374,200,False,False,False,True,True,True,False,False,0.0,0.0,ETF_LS
LMTL,LMT,2.0,0.0423589083661597,2x,0.025266,3000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
METU,META,2.0,0.0579000821180641,2x,0.004136,600,False,True,True,False,False,True,False,False,0.0,0.0,ETF_LS
MUU,MU,2.0,0.0296966339403075,2x,0.0506519999999999,100000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
MSFU,MSFT,2.0,0.0621812777769439,2x,0.045182,40000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
MSTX,MSTR,2.0,0.2762061574091434,2x,,0,False,True,False,True,False,True,False,False,0.0,0.0,ETF_LS
NVDU,NVDA,2.0,0.1001507456639418,2x,0.091654,250000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
NFXL,NFLX,2.0,0.0459868683069439,2x,0.017976,55000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
PLTU,PLTR,2.0,0.0472392671495676,2x,0.0233419999999999,100000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
