ETF,Underlying,Leverage,cagr_port_hist,LevType,borrow_current,shares_available,borrow_spiking,cagr_positive,borrow_leq_cap,borrow_gt_cap,exclude_borrow_gt_cap_and_neg_cagr,exclude_no_shares,exclude_borrow_spike,include_for_algo
AAPU,AAPL,2.0,0.0239381165742087,2x,0.041828000000000004,65000,False,True,True,False,False,False,False,True
AMUU,AMD,2.0,0.0509792800636172,2x,0.009974000000000004,65000,False,True,True,False,False,False,False,True
AMZU,AMZN,2.0,0.0393047404419382,2x,0.073422,150000,False,True,True,False,False,False,False,True
AVL,AVGO,2.0,-0.0242579499875311,2x,0.12787199999999999,350000,False,False,False,True,True,False,False,False
BITX,IBIT,2.0,0.0729968856353815,2x,0.077038,700000,False,True,True,False,False,False,False,True
BOEU,BA,2.0,-0.0122567603423263,2x,0.13251800000000002,75000,False,False,False,True,True,False,False,False
BRKU,BRK-B,2.0,0.0297158562611077,2x,,0,False,True,False,True,False,True,False,False
BULU,BULL,2.0,0.0513537231687322,2x,0.344124,9000,False,True,False,True,False,False,False,True
CSCL,CSCO,2.0,0.0450367538398204,2x,0.09386800000000001,8000,False,True,True,False,False,False,False,True
ELIL,LLY,2.0,0.0331162721432438,2x,0.055144000000000006,10000,False,True,True,False,False,False,False,True
ETHU,ETHA,2.0,0.105383802383399,2x,0.01983,1300000,False,True,True,False,False,False,False,True
FRDU,F,2.0,0.0342456415578906,2x,0.20211800000000002,200,False,True,False,True,False,True,False,False
GGLL,GOOGL,2.0,0.0592816536042732,2x,0.032600000000000004,300000,False,True,True,False,False,False,False,True
GMEU,GME,2.0,-0.0175652655077385,2x,0.47237400000000007,200,False,False,False,True,True,True,False,False
LMTL,LMT,2.0,0.0423589083661597,2x,0.025266,3000,False,True,True,False,False,False,False,True
METU,META,2.0,0.0579000821180641,2x,0.004136000000000001,600,False,True,True,False,False,True,False,False
MUU,MU,2.0,0.0296966339403075,2x,0.050651999999999996,100000,False,True,True,False,False,False,False,True
MSFU,MSFT,2.0,0.0621812777769439,2x,0.045182,40000,False,True,True,False,False,False,False,True
MSTX,MSTR,2.0,0.2762061574091434,2x,,0,False,True,False,True,False,True,False,False
NVDU,NVDA,2.0,0.1001507456639418,2x,0.091654,250000,False,True,True,False,False,False,False,True
NFXL,NFLX,2.0,0.0459868683069439,2x,0.017976,55000,False,True,True,False,False,False,False,True
PLTU,PLTR,2.0,0.0472392671495676,2x,0.023341999999999998,100000,False,True,True,False,False,False,False,True
PALU,PANW,2.0,0.0568054257849837,2x,0.0,9000,False,True,True,False,False,False,False,True
QCMU,QCOM,2.0,0.0319027702499334,2x,0.0,9000,False,True,True,False,False,False,False,True
SHPU,SHOP,2.0,-0.0139561832613179,2x,0.142582,25000,False,False,False,True,True,False,False,False
TSMX,TSM,2.0,-0.2224784528349133,2x,0.597112,650000,False,False,False,True,True,False,False,False
TSLL,TSLA,2.0,-0.010089780226139,2x,0.07556199999999999,8200000,False,False,True,False,False,False,False,True
XOMX,XOM,2.0,0.0163413032538699,2x,0.067996,1000,False,True,True,False,False,False,False,True
XXRP,XRP,2.0,0.322156660562134,2x,0.023985999999999997,250000,False,True,True,False,False,False,False,True
AALG,AAL,2.0,-0.0194891332971213,2x,0.18046800000000002,4000,False,False,False,True,True,False,False,False
ABNG,ABNB,2.0,-0.0252933128092138,2x,0.14954,100,False,False,False,True,True,True,False,False
ADBG,ADBE,2.0,-0.1048547573334515,2x,0.35248399999999996,250000,False,False,False,True,True,False,False,False
ARMG,ARM,2.0,-0.1204786000708575,2x,0.39576999999999996,75000,False,False,False,True,True,False,False,False
ASMG,ASML,2.0,0.0497500398935557,2x,0.037788,1000,False,True,True,False,False,False,False,True
BAIG,BBAI,2.0,0.0075350533005942,2x,0.28874,6000,False,True,False,True,False,False,False,True
BEG,BE,2.0,0.1445522621861292,2x,0.221062,6000,False,True,False,True,False,False,False,True
BLSG,BLSH,2.0,-0.6235433709978356,2x,2.188146,1000,False,False,False,True,True,False,False,False
BMNG,BMNR,2.0,-0.0019994842782988,2x,0.258224,20000,False,False,False,True,True,False,False,False
CIFG,CIFR,2.0,-0.0191149794049723,2x,,0,False,False,False,True,True,True,False,False
CMGG,CMG,2.0,0.0048505853457334,2x,0.065538,10000,False,True,True,False,False,False,False,True
COIG,COIN,2.0,0.0193392216175078,2x,0.139626,500,False,True,False,True,False,True,False,False
COTG,COST,2.0,-0.0488011930199318,2x,0.22034399999999998,30000,False,False,False,True,True,False,False,False
CRCG,CRCL,2.0,-0.0300276346754811,2x,0.25383,1200000,False,False,False,True,True,False,False,False
CRMG,CRM,2.0,0.0585678544031988,2x,0.016838,100000,False,True,True,False,False,False,False,True
CRWG,CRWV,2.0,0.006876291879363,2x,0.11871400000000001,800000,False,True,False,True,False,False,False,True
DUOG,DUOL,2.0,0.1085439442105968,2x,0.183174,800,False,True,False,True,False,True,False,False
FIGG,FIG,2.0,-0.0918699137932618,2x,0.370236,20000,False,False,False,True,True,False,False,False
FUTG,FUTU,2.0,-0.0172946811895431,2x,0.21655000000000002,2000,False,False,False,True,True,False,False,False
GEMG,GEMI,2.0,0.095642228968795,2x,0.341922,1000,False,True,False,True,False,False,False,True
GEVG,GEV,2.0,0.1478949264899982,2x,,0,False,True,False,True,False,True,False,False
GLGG,GLXY,2.0,-0.1498801768422518,2x,0.572874,10000,False,False,False,True,True,False,False,False
GRAG,GRAB,2.0,-0.5006813193067131,2x,,0,False,False,False,True,True,True,False,False
HOOG,HOOD,2.0,-0.0608423961295158,2x,0.259676,35000,False,False,False,True,True,False,False,False
IREG,IREN,2.0,0.0296881689865826,2x,,0,False,True,False,True,False,True,False,False
LACG,LAC,2.0,-0.22593870902094,2x,0.0,600,False,False,True,False,False,True,False,False
LULG,LULU,2.0,-0.2606359415723193,2x,0.70517,2000,False,False,False,True,True,False,False,False
MPG,MP,2.0,0.0093511808086086,2x,0.158016,3000,False,True,False,True,False,False,False,True
NBIG,NBIS,2.0,-0.0598743727012283,2x,0.271746,90000,False,False,False,True,True,False,False,False
NEMG,NEM,2.0,-0.0523635755373014,2x,0.17325200000000002,200,False,False,False,True,True,True,False,False
NETG,NET,2.0,0.0340145015305817,2x,0.146234,8000,False,True,False,True,False,False,False,True
NUG,NU,2.0,-0.207312070377292,2x,0.537694,100,False,False,False,True,True,True,False,False
