underlying,etf,delta,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
CLSK,CLSZ,-2.057901,342.45757941,0.0,0.0,0.0,0.0,-1.02,0.0,0.0,0.0,341.43757941
XLK,WEBS,-2.234372,313.26477971,0.0,0.0,0.0,0.0,-1.06,0.0,0.0,0.0,312.20477971
XLK,TTXD,-1.848665,245.82998158,0.0,0.0,0.0,0.0,-2.07,0.0,0.0,0.0,243.75998158000002
QQQ,QID,-1.992713,72.44317078,0.0,0.0,0.0,0.0,-0.79,0.0,0.0,0.0,71.65317078
USO,SCO,-1.504645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPY,SPXU,-2.891333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVIX,UVIX,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLT,TBT,-1.980565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLT,TBX,-0.426834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLT,TMV,-2.963299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTS,ASTN,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLE,DUG,-1.974024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPY,SPXS,-2.898437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLK,FNGD,-2.838558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLK,REW,-1.998284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLK,TECS,-2.961877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XOP,DRIP,-1.999033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRPZ,GXRP,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLF,SKF,-2.00174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOXX,TSXD,-1.901072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPY,HIBS,-4.472566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RKLB,RKLZ,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COIN,CONI,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRCL,CRCD,-2.011265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRWV,CORD,-2.00196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBIT,BTCZ,-1.992772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IREN,IREZ,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IWM,TWM,-2.002626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IWM,TZA,-2.990894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSTR,MSDD,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSTR,MSTZ,-1.982392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBIS,NBIZ,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVDA,NVDS,-1.448281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QBTS,QBTZ,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRPZ,XRP,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIA,DXD,-1.988313,-24.50723037,0.0,0.0,0.0,0.0,-1.915,0.0,0.0,0.0,-26.42223037
DIA,SDOW,-2.988018,-26.86841554,0.0,0.0,0.0,0.0,-1.2449999999999999,0.0,0.0,0.0,-28.113415540000002
