underlying,symbol,leg_type,net_notional_usd,gross_notional_usd
AMD,AMD,underlying,0.0,0.0
ASTS,ASTS,underlying,-4069.8,4069.8
ASTS,ASTN,etf,11146.34081,11146.34081
AXON,AXON,underlying,0.0,0.0
BE,BE,underlying,-12473.925054810166,12473.925054810166
BE,BEZ,etf,17156.0736,17156.0736
BLSH,BLSH,underlying,0.0,0.0
BMNR,BMNR,underlying,0.0,0.0
COIN,COIN,underlying,-755.8620528084641,755.8620528084641
CRCL,CRCL,underlying,-6622.870043790001,6622.870043790001
CRCL,CRCD,etf,6622.870043790001,6622.870043790001
CRWV,CRWV,underlying,-12742.892019639385,12742.892019639385
CRWV,CORD,etf,16095.32148675,16095.32148675
DKNG,DKNG,underlying,0.0,0.0
HOOD,HOOD,underlying,0.0,0.0
IBIT,IBIT,underlying,0.0,0.0
IONQ,IONQ,underlying,0.0,0.0
IREN,IREN,underlying,-14947.772399999998,14947.772399999998
IREN,IREZ,etf,16400.2745148,16400.2745148
IWM,IWM,underlying,0.0,0.0
KEEL,KEEL,underlying,0.0,0.0
LITE,LITE,underlying,0.0,0.0
MSTR,MSTR,underlying,-6244.443409527554,6244.443409527554
MSTR,MSDD,etf,1948.1977,1948.1977
MSTR,MSTZ,etf,3429.574632,3429.574632
MU,MU,underlying,0.0,0.0
NBIS,NBIS,underlying,-15108.932025000004,15108.932025000004
NBIS,NBIZ,etf,22608.624600450003,22608.624600450003
NEM,NEM,underlying,0.0,0.0
NET,NET,underlying,0.0,0.0
NVDA,NVDA,underlying,0.0,0.0
OKLO,OKLO,underlying,0.0,0.0
OKTA,OKTA,underlying,0.0,0.0
QBTS,QBTS,underlying,-12602.460000000001,12602.460000000001
QBTS,QBTZ,etf,9601.369630140001,9601.369630140001
QQQ,QQQ,underlying,0.0,0.0
QS,QS,underlying,0.0,0.0
RGTI,RGTI,underlying,0.0,0.0
RKLB,RKLB,underlying,-2999.5292944881226,2999.5292944881226
RKLB,RKLZ,etf,1576.6105201,1576.6105201
SMCI,SMCI,underlying,0.0,0.0
SNDK,SNDK,underlying,0.0,0.0
SPY,SPY,underlying,0.0,0.0
TSLA,TSLA,underlying,0.0,0.0
TSM,TSM,underlying,0.0,0.0
XOP,XOP,underlying,0.0,0.0
XRPZ,XRPZ,underlying,0.0,0.0
