ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,vol_etf_annual_legacy,gross_decay_annual,gross_decay_annual_legacy_weekly,vol_underlying_annual,vol_underlying_annual_legacy,expense_ratio_annual,expense_ratio_source,underlying_borrow_annual,risk_free_rate_used,expected_gross_decay_annual,expected_gross_decay_annual_legacy,expected_gross_decay_reliable,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,bucket,bucket4_net_edge_annual,inverse_shortable,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve
<<<<<<< HEAD
AMUU,AMD,2.007667,263,ols,0.051608,8000,0.051608,False,False,87.697998046875,0.051608,1.0,False,True,False,False,False,False,False,False,False,1.150568,1.163158,0.502671,0.484245,0.576866,0.580395,0.0106,yfinance,0.0,0.03595,0.383437,0.387568,True,0.502671,0.451063,0.451063,0.50191675,0.6023001,0.50191675,0.6023001,bucket_1,,False,0.051608,ETF_LS,5257.164648327315,-2618.544135221287,5257.164648327315,-2618.544135221287,15573.579665726851,0.0,-0.0,15573.579665726851,core_leveraged
ASMU,ASML,2.004753,48,ols,0.124334,5000,0.124334,False,False,25.000099182128903,0.124334,1.0,False,True,False,False,False,False,False,False,False,0.922183,0.938252,0.341578,0.304035,0.385873,0.384493,0.0097,yfinance,0.0,0.03595,0.195782,0.194711,True,0.223553,0.217244,0.099219,0.50118825,0.6014259,0.50118825,0.6014259,bucket_1,,False,0.124334,ETF_LS,777.0115788787988,-387.5846944131266,777.0115788787988,-387.5846944131266,1551.372978916399,0.0,-0.0,1551.372978916399,core_leveraged
AVL,AVGO,1.986371,382,ols,0.054076,150000,0.054076,False,False,57.619998931884766,0.054076,1.0,False,True,False,False,False,False,False,False,False,0.846582,0.850321,0.377124,0.371817,0.425952,0.42574,0.01,yfinance,0.0,0.03595,0.223203,0.223026,True,0.377124,0.323048,0.323048,0.49659275,0.5959113,0.5,0.5959113,bucket_1,,False,0.054076,ETF_LS,3547.095864636756,-1785.716698762092,3547.095864636756,-1785.716698762092,11023.806107023114,0.0,-0.0,11023.806107023114,core_leveraged
BOEU,BA,1.993003,250,ols,0.055496,10000,0.055496,False,False,38.47999954223633,0.055496,1.0,False,True,False,False,False,False,False,False,False,0.596878,0.602278,0.192737,0.188697,0.304884,0.306423,0.0106,yfinance,0.0,0.03595,0.138279,0.13921,True,0.192305,0.137241,0.136809,0.49825075,0.5979009,0.5,0.5979009,bucket_1,,False,0.055496,ETF_LS,1108.3830157850464,-556.1371537248294,1108.3830157850464,-556.1371537248294,1884.0725914878185,0.0,-0.0,1884.0725914878185,core_leveraged
BABU,BABA,2.037394,47,ols,0.056172,25000,0.056172,False,False,15.888999938964844,0.056172,1.0,False,True,False,False,False,False,False,False,False,0.759552,0.746169,0.228075,0.212603,0.425318,0.430353,0.0097,yfinance,0.0,0.03595,0.238163,0.242716,True,0.236282,0.171903,0.18011,0.5093485,0.6112181999999999,0.5093485,0.6112181999999999,bucket_1,,False,0.056172,ETF_LS,1651.7399628213682,-810.712097326962,1651.7399628213682,-810.712097326962,5322.130417245484,0.0,-0.0,5322.130417245484,core_leveraged
CONX,COIN,2.005806,104,ols,0.1030219999999999,30000,0.1030219999999999,False,False,11.649100303649902,0.1030219999999999,1.0,False,True,False,False,False,False,False,False,False,1.485182,1.512433,0.697716,0.664597,0.722539,0.735783,0.0097,yfinance,0.0,0.03595,0.572477,0.591959,True,0.624163,0.5946940000000001,0.5211410000000001,0.5014515,0.6017418,0.5014515,0.6017418,bucket_1,,False,0.1030219999999999,ETF_LS,4835.78129276026,-2410.8918274051725,4835.78129276026,-2410.8918274051725,20747.407780595833,0.0,-0.0,20747.407780595833,core_leveraged
GGLL,GOOGL,1.995137,501,ols,0.075098,400000,0.075098,False,False,106.73999786376952,0.075098,1.0,False,True,False,False,False,False,False,False,False,0.57226,0.57204,0.195275,0.18799,0.288072,0.285707,0.0096,yfinance,0.0,0.03595,0.127756,0.126409,True,0.195275,0.120177,0.120177,0.49878425,0.5985410999999999,0.5,0.5985410999999999,bucket_1,,False,0.075098,ETF_LS,775.767223638462,-388.8290496534634,775.767223638462,-388.8290496534634,4404.771713820222,0.0,-0.0,4404.771713820222,core_leveraged
HODU,HOOD,2.008207,104,ols,0.1215649999999999,35000,0.1215649999999999,False,False,11.130000114440918,0.1215649999999999,1.0,False,True,False,False,False,False,False,False,False,1.440678,1.437541,0.691996,0.638192,0.661678,0.665931,0.0097,yfinance,0.0,0.03595,0.489167,0.494883,True,0.572874,0.570431,0.451309,0.50205175,0.6024621,0.50205175,0.6024621,bucket_1,,False,0.1215649999999999,ETF_LS,3458.386984091544,-1722.1267449478783,3458.386984091544,-1722.1267449478783,17536.29622853402,0.0,-0.0,17536.29622853402,core_leveraged
LINT,INTC,1.990037,104,ols,0.201785,30000,0.201785,False,False,70.18810272216797,0.201785,1.0,False,True,False,False,False,False,False,False,False,1.446114,1.433333,0.648357,0.620274,0.631286,0.636492,0.0097,yfinance,0.0,0.03595,0.437878,0.44438,True,0.524742,0.4465719999999999,0.322957,0.49750925,0.5970111,0.5,0.5970111,bucket_1,,False,0.201785,ETF_LS,775.104011727294,-389.4922615646313,775.104011727294,-389.4922615646313,6370.002512656514,0.0,-0.0,6370.002512656514,core_leveraged
