underlying,sector,sector_source,sector_confidence,instrument_class,beta_to_spy,beta_source,net_notional_usd,gross_notional_usd
SPCX,industrials,vendor,0.75,letf,4.322250491268095,computed,25620.0,25620.0
ASTS,space,override,1.0,letf,3.228723229175,computed,18837.834538359995,85636.36286020001
AAOI,software,vendor,0.75,letf,4.057344327056327,computed,9455.163915000005,111090.756085
IREN,crypto-equity,override,1.0,letf,3.374373396812159,computed,9146.070785105509,117927.8162032945
CRML,metals,override,1.0,letf,3.6140463211839493,computed,8241.269572770001,170809.03042723
MU,semis,override,1.0,letf,3.1302690070030694,computed,5011.350646400901,72516.96935359911
FLY,evtol,override,1.0,letf,3.159727083891268,computed,4973.7696622,41999.3503378
QBTS,quantum,override,1.0,letf,4.077310935356446,computed,4700.191533556201,54714.7145304838
LUNR,space,override,1.0,letf,3.5099023294971254,computed,4130.051882129999,32945.08811787
NVTS,semis,override,1.0,letf,4.257920064257825,computed,4112.031013699998,59451.3689863
SMCI,semis,override,1.0,letf,3.5451785510948364,computed,4086.228758220004,71443.57124178
RKLB,space,override,1.0,letf,3.3248528972263798,computed,3813.66805034,31543.05708686
ONDS,drones,override,1.0,letf,3.4686835559571576,computed,3758.5355474000007,42949.5244526
LITE,semis,override,1.0,letf,2.730328158734172,computed,3748.171544099996,51008.79848558
RCAT,drones,override,1.0,letf,3.4425252927923906,computed,3407.751475000001,43428.028525
RGTI,quantum,override,1.0,letf,3.7861883491392807,computed,3173.923871520001,25899.40185648
RIOT,crypto-equity,override,1.0,letf,3.827576298964994,computed,3032.6825293099973,76272.41747069
HOOD,fintech,override,1.0,letf,3.050341544698058,computed,1928.2789325369984,90039.421067463
AMD,semis,override,1.0,letf,2.9068621008108337,computed,1746.5458389168948,72380.9595800431
OKLO,nuclear,override,1.0,letf,3.9422013919229637,computed,1707.0683786000009,26792.1316214
BMNR,crypto-equity,override,1.0,letf,5.025233074402912,computed,1619.2063116000008,33114.1936884
IONQ,quantum,override,1.0,letf,3.359187887182876,computed,1502.6442235227987,93092.3957764772
TSM,semis,override,1.0,letf,2.105903438152244,computed,1433.6520613200034,48139.36793868
BULL,crypto-equity,override,1.0,letf,2.5193406213489884,computed,1372.949227776,3401.6107722240004
MARA,crypto-equity,override,1.0,letf,3.148174695598902,computed,1261.4356283895013,65682.3643716105
BBAI,software,override,1.0,letf,3.0555413304637407,computed,1159.9759227960003,14351.524077204
XRPZ,crypto,override,1.0,letf,2.694504240973505,computed,1105.0600620799996,21162.91993792
GEMI,crypto-equity,override,1.0,letf,3.254958985743876,computed,1084.7664511880012,13603.213548812
META,mega-cap-tech,override,1.0,letf,1.4465829767171845,computed,1001.2818672699972,61022.218132730006
AVAV,drones,override,1.0,letf,1.9669332030162203,computed,863.3786924000005,9124.4013076
OPEN,consumer,override,1.0,letf,2.9277202223031993,computed,761.5623885596005,14449.5576114404
TSUI,industrials,override,1.0,letf,2.3185003790928915,computed,736.8429933125008,13797.0570066875
PL,space,override,1.0,letf,2.664894242213652,computed,730.8634049999991,16703.756595
APP,software,override,1.0,letf,2.14443573866243,computed,704.5089946999992,8683.2910053
HIMS,healthcare,override,1.0,letf,2.6063267784483917,computed,697.9809288799988,37604.699071120005
RDW,space,override,1.0,letf,3.749036999495683,computed,676.4793724499996,9765.56062755
BLSH,crypto-equity,override,1.0,letf,2.676300106053648,computed,661.3657760000001,6815.454223999999
SBET,crypto-equity,override,1.0,letf,3.552236004355174,computed,604.9732725000003,10737.1867275
SVIX,other,default,0.1,volatility_etp,3.650087775125126,computed,509.9468409600004,11152.98684096
QUBT,quantum,override,1.0,letf,3.657343380536942,computed,509.1658188399988,16460.234181159998
SNAP,software,override,1.0,letf,1.9450162831953806,computed,504.8297790719996,3912.190220928
UEC,nuclear,override,1.0,letf,2.793883792120053,computed,484.6868472639999,14036.333152736
HUT,crypto-equity,override,1.0,letf,4.566000476906745,computed,480.32649805250185,29537.5935019475
PLTR,software,override,1.0,letf,1.7903566787716079,computed,468.4514150199996,8374.54858498
CLSK,crypto-equity,override,1.0,letf,3.317578998332596,computed,453.6445679999997,22789.755432
ORCL,mega-cap-tech,override,1.0,letf,1.826240798068687,computed,451.0278040399997,6551.772195959999
TDOG,software,override,1.0,letf,2.1078261861245338,computed,438.9140349600002,6352.24596504
GLXY,crypto-equity,override,1.0,letf,3.853850090168674,computed,409.2955548579994,29729.904445142
RKT,fintech,override,1.0,letf,2.0327659224857544,computed,401.0898000000002,6962.590200000001
ETHA,crypto,override,1.0,letf,2.96948281034266,computed,392.7072948699997,22279.45270513
SOUN,software,override,1.0,letf,3.0227970436445264,computed,375.62302622079983,3201.9769737792003
ZETA,software,override,1.0,letf,2.629444382756858,computed,342.4070814700003,5050.832918529999
CRCL,software,override,1.0,letf,3.033920107686827,computed,341.89842526000393,61083.19924036
GDX,metals,override,1.0,letf,1.7025260061014063,computed,331.51821178,6835.20178822
COIN,crypto-equity,override,1.0,letf,3.114041313298173,computed,326.71669120399747,87576.32838587399
NOW,software,override,1.0,letf,0.7493036941658241,computed,295.0191907000001,2123.2408093000004
AVGO,semis,override,1.0,letf,2.125126388326301,computed,287.3285528199997,4418.23144718
GDXJ,metals,override,1.0,letf,1.9556840709779264,computed,273.1697807999999,3122.6702192
FIGR,software,override,1.0,letf,2.8557455640484393,computed,268.9603286199995,7992.59967138
RDDT,software,override,1.0,letf,1.9176130034891206,computed,265.9466171000004,6551.6533829
U,software,override,1.0,letf,2.286115823655005,computed,251.0409096800004,8108.07909032
CLS,semis,override,1.0,letf,3.072008109074454,computed,250.29479399999764,15576.985206
PONY,china,override,1.0,letf,3.2486305265124287,computed,244.0801735200007,6987.1198264800005
SHOP,software,override,1.0,letf,2.1492424343633747,computed,240.6624223999997,4942.3775776
MP,metals,override,1.0,letf,1.8878847790909858,computed,239.27283565000005,3498.70716435
XPEV,china,override,1.0,letf,1.6163956365850718,computed,227.898250007,1908.101749993
PAAS,metals,override,1.0,letf,1.812445925817611,computed,218.52983785449945,4980.8281481455
MRVL,semis,override,1.0,letf,2.846530170374213,computed,210.82746864,4714.93253136
DKNG,software,override,1.0,letf,0.7963342571321939,computed,198.91332814159975,3597.2866718584
SNOW,software,override,1.0,letf,1.27175792323306,computed,195.43850885999973,5695.901491140001
NET,software,override,1.0,letf,1.5366952512279504,computed,190.35445122500005,8544.845548775
LAC,metals,override,1.0,letf,2.087658167721897,computed,180.65999820199977,4626.740001798
NIO,china,override,1.0,letf,1.2113307687486528,computed,168.0337987375999,2336.7662012624
SATS,satellite,override,1.0,letf,1.6217575194123146,computed,136.31409680000002,3268.4859032000004
FXI,china,override,1.0,letf,0.852411578916032,computed,132.79768508000006,2759.57260092
TEM,software,override,1.0,letf,2.5124072101626433,computed,125.60524544000008,4467.994754560001
NFLX,mega-cap-tech,override,1.0,letf,0.3217623315790996,computed,117.26335208999996,2360.65664791
SPOT,software,override,1.0,letf,0.6177579472174172,computed,115.83406830719991,2640.2059316928
AFRM,fintech,override,1.0,letf,2.5912790759539495,computed,108.73115666000012,4800.86884334
JOBY,evtol,override,1.0,letf,3.1401542503661553,computed,99.17808199999968,2760.221918
ACHR,evtol,override,1.0,letf,2.956593445672337,computed,90.90541407959972,8988.0545859204
KWEB,china,override,1.0,letf,1.1750874257764483,computed,85.13508000000002,2720.46492
TTD,software,override,1.0,letf,0.7153751027480549,computed,78.12733574999982,1976.15266425
AMZN,mega-cap-tech,override,1.0,letf,1.4251419620857801,computed,71.19898238420001,2722.2810176158
CRWD,software,override,1.0,letf,1.4590454641404604,computed,68.31632277620008,1282.5636772238
NEM,metals,override,1.0,letf,1.5127235716511667,computed,59.41726592100008,2994.582734079
SOEZ,broad,override,1.0,letf,2.631536513449184,computed,58.12093801999981,9646.18155302
COPX,metals,override,1.0,letf,2.250203779408512,computed,52.16408325799989,3682.995916742
LMND,insurtech,override,1.0,letf,2.543393382486076,computed,49.844197641999926,4665.975802358
ASML,semis,override,1.0,letf,2.1928656735021144,computed,49.7015124200002,3808.79848758
QCOM,semis,override,1.0,letf,2.0044471744887926,computed,48.10138095000002,3058.49861905
URA,nuclear,override,1.0,letf,2.3689027674248826,computed,47.95783200000005,3696.042168
TSLA,mega-cap-tech,override,1.0,letf,2.0978772580424696,computed,39.44325826000012,8871.65674174
PLUG,clean,override,1.0,letf,2.640700478240554,computed,38.92019168829984,8230.6398083117
UPST,fintech,override,1.0,letf,2.773280740847529,computed,31.900071700000357,6921.139928299999
FIG,software,override,1.0,letf,1.2418918468294895,computed,31.890673920000157,10920.02932608
NU,fintech,override,1.0,letf,1.3188592137241022,computed,26.30759895999998,357.39240104
EWW,intl,override,1.0,letf,0.9119390338578329,computed,24.983313599999747,1979.2668624
KTOS,drones,override,1.0,letf,2.1583771917077894,computed,24.725992720000026,3040.6740072800003
FCX,metals,override,1.0,letf,2.1368187311172027,computed,22.448023833599564,3438.0519761664
GLW,semis,override,1.0,letf,2.5531940209964326,computed,18.77217488000042,4597.48782512
CHNL,other,default,0.1,letf,2.252700464163744,computed,14.829111417399872,2485.5292145026
NVO,healthcare,override,1.0,letf,1.3545566144127095,computed,10.607384279999906,2742.1926157200005
PYPL,fintech,override,1.0,letf,1.2729135906452027,computed,3.1377274656001646,2029.1822725344
DNN,nuclear,override,1.0,letf,1.9668835969738125,computed,2.131862079999792,3490.2281379200003
ADBE,mega-cap-tech,override,1.0,letf,0.4625905746447373,computed,1.7577470000001083,2337.042253
BIDU,mega-cap-tech,vendor,0.75,letf,1.642371729517583,computed,-0.478021151200096,2011.7980211512
ALB,metals,override,1.0,letf,1.5376665155770814,computed,-6.6961962288000905,4394.0161962288
QS,clean,override,1.0,letf,3.11125513860868,computed,-10.569271500000468,5170.1492715
BA,industrials,override,1.0,letf,1.1028058191120538,computed,-24.695488484399903,3557.9754884844
