underlying,etf,beta,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl,bucket,symbol
NBIS,NBIZ,-2.028521,1970.2569176091222,1544.8490532726603,0.0,0.0,0.0,-2.76,35.966217864420095,0.0,0.0,3548.312188746202,bucket_4,
CLSK,CLSZ,-2.019223,1285.4706250944187,1362.9868999796922,0.0,0.0,0.0,-29.205316089558302,22.061834826585677,0.0,0.0,2641.314043811138,bucket_4,
RKLB,RKLZ,-2.017481,233.8258158035886,257.4041311649876,0.0,0.0,0.0,-3.07,3.442451118760944,0.0,0.0,491.60239808733706,bucket_4,
XLK,WEBS,-2.797061,278.63155046,0.0,0.0,0.0,0.0,-1.2061549378799004,0.0,0.0,0.0,277.42539552212014,bucket_4,
MSTR,SMST,-1.97665,21.265150320372523,68.00878356804698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.27393388841949,bucket_4,
QQQ,QID,-1.996713,72.44317078,0.0,0.0,0.0,0.0,-0.79,0.0,0.0,0.0,71.65317078,bucket_4,
XLE,DUG,-1.990921,0.0,0.0,30.729267959962446,0.0,0.0,0.0,0.0,0.0,0.0,30.729267959962446,bucket_4,
DIA,DXD,-2.002451,8.031234130000005,0.0,0.0,0.0,0.0,-1.915,0.0,0.0,0.0,6.116234130000006,bucket_4,
DIA,SDOW,-2.999548,5.670048960000003,0.0,0.0,0.0,0.0,-1.2449999999999999,0.0,0.0,0.0,4.425048960000005,bucket_4,
IBIT,BTCZ,-1.999497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
IWM,TZA,-2.996043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
IWM,TWM,-2.000392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
BMNR,BMNZ,-1.989476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
AUR,AURU,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
BLSH,BLSX,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
AMD,DAMD,-2.028509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
NEM,NWMX,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
KEEL,BTFL,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
LITE,LITZ,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
LYFT,LYFX,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
