symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
DUST,flow_program,13897.249430679998,13897.249430679998,1
ZSL,flow_program,12513.212922600002,12513.212922600002,1
SQQQ,flow_program,11973.226956840002,11973.226956840002,1
FAZ,flow_program,11586.94847274,11586.94847274,1
SOXS,flow_program,11468.451071200001,11468.451071200001,1
LABD,flow_program,11204.329598280001,11204.329598280001,1
TSLQ,flow_program,10083.72670032,10083.72670032,1
SDS,flow_program,9971.67333695,9971.67333695,1
NVDQ,flow_program,9720.04538588,9720.04538588,1
EWV,flow_program,480.37368299999997,480.37368299999997,1
