underlying,symbols,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
BLSH,"BLSH, BLSX",1605.89395866,137.512315,0.0,0.0,0.0,-33.86,6.533954072751845,0.0,0.0,1716.0802277327518
GDX,"GDX, GDXU, NUGT",-170.39822695000004,1781.5575000000003,0.0,0.0,0.0,-10.629999999999999,10.935769822227163,0.0,0.0,1611.4650428722273
CRWV,"CRWG, CRWV, CWVX",181.83653027,663.8152550000001,0.0,0.0,0.0,-36.34,5.380971236316647,0.0,0.0,814.6927565063166
IREN,"IREG, IREN",0.0,399.4615819999999,0.0,0.0,0.0,-34.69,5.666924627043409,0.0,0.0,370.43850662704335
XRPZ,"GXRP, UXRP, XRP, XRPZ, XXRP",-1439.7644517400001,1818.678255,0.0,0.0,-11.16,-33.27,13.141538289977351,0.0,0.0,347.62534154997707
TSLA,"TSLA, TSLI, TSLL, TSLR, TSLT, TSLW, TSLY",261.27043378957296,497.71533811650806,0.0,0.0,-347.45548481002214,-126.80932235957748,12.968074700892807,0.0,0.0,297.6890394373743
MU,"MU, MUU",23.55844995,254.08122500000013,0.0,0.0,0.0,-15.610000000000001,6.137517834917072,0.0,0.0,268.16719278491746
INTC,"INTC, INTW",-62.22877602,301.31321099999997,0.0,0.0,0.0,-19.46,4.827428088851104,0.0,0.0,224.45186306885097
CRML,"CRML, CRMU",0.0,227.39824199999998,0.0,0.0,0.0,-28.52,11.399714993206274,0.0,0.0,210.27795699320632
NVDA,"NVDA, NVDB, NVDG, NVDL, NVDO, NVDU, NVDY",-174.04508078948973,605.2442779540373,0.0,0.0,-122.34520554964118,-119.96985796539816,21.37523233161116,0.0,0.0,210.25936598111937
VRT,"VRT, VRTL",-261.38572532,476.27627200000006,0.0,0.0,0.0,-16.4,5.721727029293057,0.0,0.0,204.21227370929319
NBIS,"NBIS, NEBX",-50.607662999999995,268.5241920000001,0.0,0.0,0.0,-20.55,6.664870225711235,0.0,0.0,204.03139922571154
COIN,"COIA, COIG, COIN, COIW, CONX, CONY",1741.23579132,-1345.490552,0.0,0.0,-165.33,-30.150000000000002,3.381831281328749,0.0,0.0,203.6470706013286
MDB,"MDB, MDBX",0.0,223.18768899999986,0.0,0.0,0.0,-25.25,4.006433162771004,0.0,0.0,201.94412216277078
AVGO,"AVGG, AVGO, AVL",0.0,237.389005,0.0,0.0,0.0,-56.78,10.732741284160603,0.0,0.0,191.3417462841606
MRNA,"MRNA, MRNX",-1.8364713700000124,206.15242999999998,0.0,0.0,0.0,-19.09,5.525760462493732,0.0,0.0,190.75171909249366
BMNR,"BMNG, BMNR",0.0,195.86219999999992,0.0,0.0,0.0,-26.78,6.615599491896491,0.0,0.0,175.6977994918965
NNE,"NNE, NNEX",0.0,172.461877,0.0,0.0,0.0,0.0,2.4603255634824737,0.0,0.0,174.92220256348247
WULF,"WULF, WULX",0.0,174.058986,0.0,0.0,0.0,-18.45,5.5452153780096864,0.0,0.0,161.1542013780097
LEU,"LEU, LEUX",0.0,163.171403,0.0,0.0,0.0,-18.82,6.4400662309485455,0.0,0.0,150.79146923094856
PLUG,"PLUG, PLUL",0.0,162.5931989999999,0.0,0.0,0.0,-19.73,6.44734144113504,0.0,0.0,149.3105404411349
APP,"APP, APPX",-2e-08,162.69757099999993,0.0,0.0,0.0,-17.25,2.070223775896287,0.0,0.0,147.51779475589615
META,"FBL, FBY, META, METU, METW",358.8459568866937,-102.03487273078167,0.0,0.0,-91.92824502985945,-25.923585956253547,4.902638710020454,0.0,0.0,143.86189187981955
SNOW,"SNOU, SNOW, SNOY",734.35125347,-448.1579569999999,0.0,0.0,-114.75,-33.47,5.724586939504299,0.0,0.0,143.69788340950424
CORZ,"CORZ, COZX",-11.88782572,162.78445899999997,0.0,0.0,0.0,-14.11,4.878429820951599,0.0,0.0,141.66506310095156
TSM,"TSM, TSMG, TSMU, TSMY",82.82289362,226.36238000000003,0.0,0.0,-138.64,-45.82000000000001,8.68601141978036,0.0,0.0,133.4112850397803
CMG,"CMG, CMGG",567.93314245,-423.49904100000003,0.0,0.0,0.0,-23.0,4.136809946699327,0.0,0.0,125.57091139669933
SOEZ,"SOEZ, SOLT",13.2908996,130.67932699999994,0.0,0.0,-12.1,-13.17,6.12321828386086,0.0,0.0,124.82344488386082
CRDO,"CRDO, CRDU",-2.23982661,127.202929,0.0,0.0,0.0,-12.54,3.5328922404252263,0.0,0.0,115.95599463042522
ALAB,"ALAB, LABX",-0.72220676,133.93927499999995,0.0,0.0,0.0,-23.53,6.14858117178688,0.0,0.0,115.83564941178679
RKT,"RKT, RKTL",12.0593176,106.55004200000008,0.0,0.0,0.0,-11.37,3.8744257282836405,0.0,0.0,111.11378532828371
UEC,"UEC, UECG",-18.904435080000003,133.1485600000001,0.0,0.0,0.0,-12.92,4.9544808543321475,0.0,0.0,106.27860577433216
GLXY,"GLXU, GLXY",5.840784499999984,102.390961,0.0,0.0,0.0,-14.34,4.017571760435845,0.0,0.0,97.90931726043584
CIFR,"CIFG, CIFR",0.0,104.93839200000002,0.0,0.0,0.0,-12.11,3.4151467265965603,0.0,0.0,96.24353872659657
LLY,"ELIL, LLY",214.68161264999998,-104.49242100000001,8.65,0.0,0.0,-25.41,1.0575521483337282,0.0,0.0,94.48674379833369
RCAT,"RCAT, RCAX",0.0,85.93653600000005,0.0,0.0,0.0,0.0,8.017846081480007,0.0,0.0,93.95438208148005
MRVL,"MRVL, MRVU",0.0,95.78088500000013,0.0,0.0,0.0,-9.07,6.9465839249844885,0.0,0.0,93.65746892498464
BE,"BE, BEX",0.0,95.61606600000002,0.0,0.0,0.0,-8.38,2.3641924412940316,0.0,0.0,89.60025844129405
KLAC,"KLAC, KLAG",0.0,93.06446600000001,11.4,0.0,0.0,-24.03,5.522060140071291,0.0,0.0,85.9565261400713
LITE,"LITE, LITX",0.0,85.78196100000001,0.0,0.0,0.0,-4.140000000000001,1.507661876492658,0.0,0.0,83.14962287649267
CSCO,"CSCL, CSCO",80.66342065,19.349396,3.69,0.0,0.0,-26.81,5.369556682403354,0.0,0.0,82.26237333240336
XOM,"XOM, XOMO, XOMX",-259.80667828,499.89529200000004,38.11,0.0,-163.23,-43.16,5.95102158482603,0.0,0.0,77.75963530482596
HUT,"HUT, HUTG",0.0,82.908185,0.0,0.0,0.0,-10.16,4.105263130114785,0.0,0.0,76.85344813011477
ISRG,"ISRG, ISUL",282.58692505,-202.532328,0.0,0.0,0.0,-10.16,1.6958514944719363,0.0,0.0,71.59044854447194
CRM,"CRM, CRMG",0.0,83.25200600000005,0.0,0.0,0.0,-19.01,6.330110209405764,0.0,0.0,70.57211620940586
FIGR,"FGRU, FIGR",0.0,90.5726370000001,0.0,0.0,0.0,-26.61,6.191780868135654,0.0,0.0,70.15441786813574
CRWD,"CRWD, CRWL",583.2770224999999,-493.244903,0.0,0.0,0.0,-22.36,1.4315857561804322,0.0,0.0,69.10370525618032
GOOGL,"GGLL, GOOGL, GOOX, GOOY",418.10502851,-200.14761199999998,11.34,0.0,-118.94,-57.79,10.652538363587418,0.0,0.0,63.21995487358748
CELH,"CELH, CELT",-1139.9782197,1220.87629,0.0,0.0,0.0,-22.07,3.934433668856384,0.0,0.0,62.76250396885632
GEV,"GEV, GEVX",-34.533061909999994,95.95444399999997,0.0,0.0,0.0,-14.17,5.237147857009148,0.0,0.0,52.48852994700917
AMD,"AMD, AMDG, AMDL, AMDY, AMUU",927.33672567,-703.0168790000007,0.0,0.0,-126.77000000000001,-62.19,14.975029235098265,0.0,0.0,50.33487590509742
AXON,"AXON, AXUP",0.0,54.060006999999985,0.0,0.0,0.0,-4.91,1.04391740096697,0.0,0.0,50.19392440096692
UNH,"UNH, UNHG",-10.70132582,13.665543999999954,64.09,0.0,0.0,-25.47,5.237110226611632,0.0,0.0,46.821328406611656
CLS,"CLS, CSEX",-52.83831383,109.13402900000001,0.0,0.0,0.0,-13.09,1.0727422854644961,0.0,0.0,44.27845745546452
COST,"COST, COTG",-26.80481263,92.63033200000001,7.8,0.0,0.0,-35.5,5.339602885980336,0.0,0.0,43.46512225598033
OKLO,"OKLL, OKLO",0.0,57.59168999999997,0.0,0.0,0.0,-18.73,3.7575833439953663,0.0,0.0,42.61927334399536
QBTS,"QBTS, QBTX",0.0,49.638990000000035,0.0,0.0,0.0,-16.009999999999998,6.788323016496548,0.0,0.0,40.417313016496564
URA,"URA, URAA",0.0,39.99710300000004,0.0,0.0,0.0,-5.37,4.991546795885755,0.0,0.0,39.618649795885744
NU,"NU, NUG",0.0,49.98219300000005,0.0,0.0,0.0,-21.47,4.739097002414385,0.0,0.0,33.25129000241441
FXI,"FXI, YINN",0.0,29.033179999999987,0.0,0.0,0.0,-2.5,3.9903273526340053,0.0,0.0,30.523507352634
AAPL,"AAPB, AAPL, AAPU, AAPX, APLY",-183.87915886000002,388.610177,21.84,0.0,-116.11,-89.91,9.780328466487564,0.0,0.0,30.3313466064875
SATS,"SATG, SATS",0.0,35.152915,0.0,0.0,0.0,-7.83,2.197891171203432,0.0,0.0,29.520806171203432
KWEB,"CWEB, KWEB",0.0,25.365920999999986,0.0,0.0,0.0,-2.55,5.019368203116178,0.0,0.0,27.83528920311616
PANW,"PALU, PANG, PANW",3.33739533,69.55218000000002,0.0,0.0,0.0,-60.07,12.347148054941314,0.0,0.0,25.166723384941292
CEG,"CEG, CEGX",5.9e-07,63.460496000000006,0.0,0.0,0.0,-45.96,6.805081086857163,0.0,0.0,24.305577676857183
BA,"BA, BOEG, BOEU",16.50198074,46.28414200000043,0.0,0.0,0.0,-51.19,9.499166679711218,0.0,0.0,21.095289419711207
SRPT,"SRPT, SRPU",0.0,31.305908999999986,0.0,0.0,0.0,-14.43,4.03310057114426,0.0,0.0,20.909009571144225
GSOL,"GSOL, SOLX",0.0,28.85636600000001,0.0,0.0,0.0,-16.96,8.886631612405873,0.0,0.0,20.782997612405893
OKTA,"OKTA, OKTG",0.0,22.538820000000015,0.0,0.0,0.0,-6.45,1.668205695763256,0.0,0.0,17.757025695763275
UBER,"UBER, UBRL",-99.65239785,113.23886,0.0,0.0,0.0,-4.89,5.590647811277763,0.0,0.0,14.287109961277764
FIG,"FIG, FIGG",0.0,8.355410000000006,0.0,0.0,0.0,-0.63,5.134592480311249,0.0,0.0,12.86000248031121
ASHR,"ASHR, CHAU",0.0,10.751731000000007,0.0,0.0,0.0,-3.27,5.118373778981701,0.0,0.0,12.600104778981688
LRCX,"LRCU, LRCX",0.0,13.322536,0.0,0.0,0.0,-2.25,1.344910407234434,0.0,0.0,12.417446407234433
RDW,"RDW, RDWU",0.0,8.996275000000026,0.0,0.0,0.0,0.0,3.224774545561333,0.0,0.0,12.221049545561357
OSCR,"OSCG, OSCR",0.0,14.67692199999999,0.0,0.0,0.0,-5.74,1.1833505672308944,0.0,0.0,10.12027256723087
ZETA,"ZETA, ZETX",0.0,14.50309399999999,0.0,0.0,0.0,-6.06,1.3571779168247649,0.0,0.0,9.800271916824755
NOW,"NOW, NOWL",0.0,12.705517,0.0,0.0,0.0,-4.58,1.460360466814603,0.0,0.0,9.585877466814605
WDC,"WDC, WDCX",0.0,10.351666000000023,0.0,0.0,0.0,-4.23,1.7145914324350797,0.0,0.0,7.836257432435104
ETOR,"ETOR, ETRL",0.0,9.211626999999993,0.0,0.0,0.0,-4.07,1.7268589420254106,0.0,0.0,6.868485942025416
ORCL,"ORCL, ORCU",0.0,10.709400999999998,0.0,0.0,0.0,-6.04,1.4319871470872734,0.0,0.0,6.10138814708727
BULL,"BULG, BULL",0.0,9.910392000000002,0.0,0.0,0.0,-5.7,1.400064026527568,0.0,0.0,5.610456026527572
SHOP,"SHOP, SHPU",0.0,11.049921000000005,0.0,0.0,0.0,-7.01,1.3787401346016348,0.0,0.0,5.418661134601642
EWW,"EWW, MEXX",0.0,4.995221000000015,0.0,0.0,0.0,-1.19,0.934739074306193,0.0,0.0,4.739960074306197
BIDU,"BIDG, BIDU",0.0,10.049786,0.0,0.0,0.0,-6.73,1.4137740346893588,0.0,0.0,4.733560034689356
FCX,"FCX, FCXG",0.0,3.102840999999998,0.0,0.0,0.0,0.0,1.432815015832633,0.0,0.0,4.5356560158326324
ARKK,"ARKK, TARK",0.0,3.012425999999998,0.0,0.0,0.0,0.0,1.4628315295848435,0.0,0.0,4.4752575295848445
SNPS,"SNPS, SNPX",0.0,8.464390999999999,0.0,0.0,0.0,-5.74,1.3664475380796262,0.0,0.0,4.090838538079623
SOFI,"SOFA, SOFI",-33.3727942,45.662297999999964,0.0,0.0,0.0,-14.52,5.144501818323889,0.0,0.0,2.914005618323813
ADBE,"ADBE, ADBG",0.0,5.960082,0.0,0.0,0.0,-4.26,1.1488058623108828,0.0,0.0,2.848887862310903
MP,"MP, MPG",0.0,0.7765219999999999,0.0,0.0,0.0,0.0,1.5758983306556436,0.0,0.0,2.35242033065564
DDOG,"DDOG, DOGD",0.0,0.3129810000000006,0.0,0.0,0.0,0.0,1.441645615783137,0.0,0.0,1.7546266157831383
DELL,"DELL, DLLL",0.0,5.5325909999999965,0.0,0.0,0.0,-5.6,1.5951901811156937,0.0,0.0,1.5277811811156994
SMCI,"SMCI, SMCL",0.0,7.7952820000000145,0.0,0.0,0.0,-11.41,2.335380100262345,0.0,0.0,-1.2793378997376408
RTX,"RTX, RTXG",0.0,0.8057809999999961,0.0,0.0,0.0,-3.84,1.3199990840786084,0.0,0.0,-1.7142199159214044
NFLX,"NFLU, NFLX, NFLY, NFXL",-1025.0481681365982,1148.2897948961609,0.0,0.0,-84.5649694869458,-54.79749064314565,14.22253417596377,0.0,0.0,-1.89829919456497
KTOS,"KTOS, KTUP",0.0,2.768310999999983,0.0,0.0,0.0,-6.470000000000001,1.6922389763103662,0.0,0.0,-2.009450023689652
ACHR,"ACHR, ARCX",0.0,-0.5526249999999777,0.0,0.0,0.0,-4.7,1.2180708806726488,0.0,0.0,-4.034554119327311
LMT,"LMT, LMTL",386.27707939,-370.35378099999997,0.0,0.0,0.0,-21.17,1.1322986612670431,0.0,0.0,-4.114402948732959
ORLY,"ORLG, ORLY",0.0,-5.738804000000002,0.0,0.0,0.0,0.0,1.3220812994078468,0.0,0.0,-4.416722700592153
VALE,"VALE, VALG",0.0,-7.127058,0.0,0.0,0.0,0.0,1.4482811092118537,0.0,0.0,-5.678776890788146
U,"U, UNX",-0.52029459,-6.264132000000004,0.0,0.0,0.0,-1.35,1.657518662868612,0.0,0.0,-6.476907927131393
AAL,"AAL, AALG",0.0,-4.317124000000035,0.0,0.0,0.0,-4.87,1.103586667962066,0.0,0.0,-8.083537332037963
NOK,"LNOK, NOK",0.0,-10.537063999999997,0.0,0.0,0.0,0.0,1.4487201305162114,0.0,0.0,-9.088343869483786
NEM,"NEM, NEMG",0.0,-7.740788999999978,0.0,0.0,0.0,-3.14,1.205326719380444,0.0,0.0,-9.675462280619513
SBUX,"SBU, SBUX",0.0,-7.708909,0.0,0.0,0.0,-4.8,1.444856743037866,0.0,0.0,-11.064052256962134
DNN,"DNN, DNNG",0.0,-13.249795000000006,0.0,0.0,0.0,0.0,1.49371354247993,0.0,0.0,-11.756081457520075
APH,"APH, APHU",0.0,-14.934623999999998,0.0,0.0,0.0,0.0,1.4684886326781352,0.0,0.0,-13.466135367321863
XLE,"ERX, XLE",0.0,-4.539094999999975,0.0,0.0,0.0,-16.41,5.884139824973634,0.0,0.0,-15.064955175026284
LAC,"LAC, LACG",0.0,-3.5862300000000005,0.0,0.0,0.0,-16.220000000000002,3.4683435652188437,0.0,0.0,-16.337886434781183
TER,"TER, TERG",-3.35040458,22.526648000000023,3.12,0.0,0.0,-45.59,5.931478865049204,0.0,0.0,-17.36227771495078
EWY,"EWY, KORU",0.0,-18.538861000000004,0.0,0.0,0.0,-1.26,0.9925644518229879,0.0,0.0,-18.806296548177016
XOP,"GUSH, XOP",0.0,-21.16768100000013,0.0,0.0,0.0,-7.91,6.648701698245042,0.0,0.0,-22.428979301755135
COPX,"COPX, COPZ",0.0,-20.618044000000054,0.0,0.0,0.0,-6.35,3.4844493753558425,0.0,0.0,-23.483594624644184
UPS,"UPS, UPSG",0.0,-26.695213999999964,0.0,0.0,0.0,-3.79,1.0675743775389168,0.0,0.0,-29.417639622461053
QCOM,"QCMU, QCOM",-30.63444168,9.282572999999957,0.0,0.0,0.0,-13.39,4.486446513489596,0.0,0.0,-30.25542216651047
UPST,"UPST, UPSX",254.04005702999996,-274.502583,0.0,0.0,0.0,-13.43,2.4522475714822964,0.0,0.0,-31.440278398517762
PBR,"PBR, PBRG",0.0,-30.30432000000002,0.0,0.0,0.0,-6.58,2.0286421866407176,0.0,0.0,-34.85567781335931
CRCL,"CRCG, CRCL",0.0,-25.79206499999964,0.0,0.0,0.0,-19.16,9.24072110956891,0.0,0.0,-35.711343890430726
OPEN,"OPEG, OPEN",-127.80801094,110.72643199999993,0.0,0.0,0.0,-23.67,2.628596157709763,0.0,0.0,-38.12298278229025
GDXJ,"GDXJ, JNUG",0.0,-41.470493999999974,0.0,0.0,0.0,-1.74,1.1301662720744496,0.0,0.0,-42.08032772792552
ASTS,"ASTS, ASTX",121.6925205,-145.54758399999992,0.0,0.0,0.0,-25.65,6.925498358909491,0.0,0.0,-42.57956514109037
SNAP,"SNAG, SNAP",25.94414966,-75.52648600000003,0.0,0.0,0.0,-3.84,1.0696816797998325,0.0,0.0,-52.35265466020019
RDDT,"RDDT, RDTL, RDYY",806.4011985000001,-743.886544,0.0,0.0,-105.7,-16.62,2.0414490652621162,0.0,0.0,-57.76389643473783
UUUU,"UUUG, UUUU",0.0,-61.020708999999954,0.0,0.0,0.0,-6.11,2.1736822821345787,0.0,0.0,-64.9570267178654
F,"F, FRDU",0.0,-72.87803200000008,0.0,0.0,0.0,-9.65,3.598695262215488,0.0,0.0,-78.92933673778475
TEM,"TEM, TEMT",-269.00750740999996,216.65209700000014,0.0,0.0,0.0,-35.78,4.256800740913135,0.0,0.0,-83.8786096690867
XYZ,"XYZ, XYZG, XYZY",674.11389486,-604.5795449999999,0.0,0.0,-145.49,-12.51,1.2010117671319025,0.0,0.0,-87.26463837286815
PYPL,"PYPG, PYPL, PYPY",900.2662167999999,-905.883556,0.0,0.0,-91.03,-16.33,1.3987469626144953,0.0,0.0,-111.57859223738546
BABA,"BABA, BABO, BABU, BABX",573.60430916,-544.7762589999998,0.0,0.0,-151.56,-22.87,5.02760926017226,0.0,0.0,-140.57434057982732
DKNG,"DKNG, DKUP, DRAY",-194.62165707000005,101.990949,0.0,0.0,-38.6,-27.240000000000002,2.2391089999496767,0.0,0.0,-156.23159907005038
MSFT,"MSFL, MSFO, MSFT, MSFU, MSFX",522.2320920637912,-609.1577159065178,57.95978278959728,0.0,-63.67461911763975,-89.16410803946894,16.166094033820013,0.0,0.0,-165.63847417641773
RBLX,"RBLU, RBLX, RBLY",751.0320812900001,-744.1317160000001,0.0,0.0,-167.32,-16.82,4.219082539135912,0.0,0.0,-173.0205521708641
ETHA,"ETHA, ETHT, ETHU, ETU",1811.5574397,-1974.175001,0.0,0.0,-7.96,-48.2,16.36645081366291,0.0,0.0,-202.4111104863373
ASML,"ASMG, ASML, ASMU",43.05462822999999,-314.20142599999997,0.0,0.0,0.0,-20.57,5.183562170945862,0.0,0.0,-286.5332355990541
DASH,"DASH, DASX",-238.34653542,-66.679161,0.0,0.0,0.0,-13.5,5.242666981978213,0.0,0.0,-313.2830294380218
AMZN,"AMZN, AMZU, AMZW, AMZY, AMZZ, AZYY",1353.52327325,-1459.76797,0.0,0.0,-240.12,-68.38,11.125991481672326,0.0,0.0,-403.61870526832774
PLTR,"PLTA, PLTR, PLTU, PTIR",-170.81065716562213,-390.22873644129504,0.0,0.0,0.0,-76.15,20.155430452652755,0.0,0.0,-617.0339631542644
CLSK,"CLSK, CLSX",-618.37814002,-32.44091,0.0,0.0,0.0,-0.35,3.7953391761701063,0.0,0.0,-647.3737108438299
IBIT,"BITU, BITX, BTCL, IBIT",52.627222393249454,-697.2620693163176,0.0,0.0,-19.18,-67.79,19.683382202741793,0.0,0.0,-711.9214647203266
SMR,"SMR, SMUP",0.0,-1567.477581,0.0,0.0,0.0,-35.03,17.425922112269976,0.0,0.0,-1585.08165888773
