run_date,underlying,qty_b1,qty_b2,cost_b1_base,cost_b2_base
2026-03-26,AAL,3008.0,0.0,32641.5,0.0
2026-03-26,AAPL,1289.0,0.0,325560.47188258014,0.0
2026-03-26,ABNB,0.0,0.0,-545.3127272727274,0.0
2026-03-26,ACHR,5520.0,0.0,31139.699999999997,0.0
2026-03-26,ADBE,128.0,0.0,30668.0,0.0
2026-03-26,AFRM,368.0,0.0,2089.422222222222,0.0
2026-03-26,ALAB,1422.0,0.0,172897.1819997181,0.0
2026-03-26,ALB,112.0,0.0,2123.1466666666665,0.0
2026-03-26,AMD,2597.0,0.0,573152.0704230687,0.0
2026-03-26,AMZN,1028.205445785385,665.794554214615,219158.11273515632,141961.7995163645
2026-03-26,APH,144.0,0.0,18668.479999999996,0.0
2026-03-26,APP,126.0,0.0,55934.67275193799,0.0
2026-03-26,ARKK,288.0,0.0,20185.216,0.0
2026-03-26,ARM,0.0,0.0,0.0,0.0
2026-03-26,ASHR,4860.0,0.0,159270.20353182752,0.0
2026-03-26,ASML,86.0,0.0,120496.55860465117,0.0
2026-03-26,ASTS,1570.0,0.0,151852.8791943128,0.0
2026-03-26,AVGO,1116.0,0.0,356178.2515817695,0.0
2026-03-26,AXON,46.0,0.0,21588.48530612245,0.0
2026-03-26,BA,1560.0,0.0,315033.30344827584,0.0
2026-03-26,BABA,1184.0,0.0,156723.06784183762,0.0
2026-03-26,BE,400.0,0.0,60423.75,0.0
2026-03-26,BIDU,304.0,0.0,35218.96,0.0
2026-03-26,BKNG,0.0,0.0,0.0,0.0
2026-03-26,BLSH,3537.0,0.0,12131.172353129301,0.0
2026-03-26,BMNR,6960.0,0.0,147923.925,0.0
2026-03-26,BULL,7184.0,0.0,37634.37715231787,0.0
2026-03-26,CEG,690.0,0.0,209067.87000000002,0.0
2026-03-26,CELH,2092.0,0.0,9053.770464020936,0.0
2026-03-26,CIFR,6352.0,0.0,100899.535,0.0
2026-03-26,CLS,127.0,0.0,38330.61179968262,0.0
2026-03-26,CLSK,6125.0,0.0,61463.056000000004,0.0
2026-03-26,CMG,3700.0,0.0,122076.30164500137,0.0
2026-03-26,CNC,0.0,0.0,0.0,0.0
2026-03-26,COIN,124.9809589426667,212.01904105733323,23458.81859906793,40209.32791805602
2026-03-26,COPX,1720.0,0.0,131882.72,0.0
2026-03-26,CORZ,10596.0,0.0,181052.1949606548,0.0
2026-03-26,COST,170.0,0.0,165895.9301744186,0.0
