symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,14453.2190944512,14453.2190944512,1
DUST,flow_program,10629.8324208,10629.8324208,1
FAZ,flow_program,10379.898527199999,10379.898527199999,1
SDS,flow_program,9243.65705801,9243.65705801,1
ZSL,flow_program,8723.7044388,8723.7044388,1
LABD,flow_program,8408.4100695,8408.4100695,1
TSLQ,flow_program,7559.597936000001,7559.597936000001,1
SQQQ,flow_program,7145.721530639999,7145.721530639999,1
NVDQ,flow_program,5822.78288592,5822.78288592,1
SOXS,flow_program,2576.8110819,2576.8110819,1
EWV,flow_program,1937.7425967848,1937.7425967848,1
TSYY,flow_program,-59.032177489999995,59.032177489999995,1
NVYY,flow_program,-70.33809350000001,70.33809350000001,1
TQQY,flow_program,-349.2745102656,349.2745102656,1
