ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
AMUU,AMD,2.00739,250,ols,0.049134,60000,0.049134,False,False,48.5099983215332,0.049134,1.0,False,True,False,False,False,False,True,False,False,False,1.293411,0.497616,0.561633,0.318937,0.496198,0.448482,0.4470639999999999,0.5018475,0.602217,0.5018475,0.602217,0.448482,net_decay_annual,0.049134,ETF_LS,12425.0699445829,-6189.664163208395,12425.0699445829,-6189.664163208395,12425.0699445829,0.0,-0.0,12425.0699445829,core_leveraged,0.5,1.0,18614.734107791293,0.265932367464766,3.0,1.0,0.1029167445909681,0.0039732623495819,primary,AMUU,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-18614.734107791293,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-04-03
ASMU,ASML,1.99462,35,ols,0.057016,25000,0.057016,False,False,20.61000061035156,0.057016,1.0,False,True,False,False,False,False,True,False,False,False,0.898666,0.339613,0.438057,0.190348,0.211079,0.282597,0.154063,0.498655,0.598386,0.5,0.598386,0.282597,net_decay_annual,0.057016,ETF_LS,5331.703384721248,-2673.042175813562,5331.703384721248,-2673.042175813562,5331.703384721248,0.0,-0.0,5331.703384721248,core_leveraged,0.5,1.0,8004.74556053481,0.168372988393117,2.0,1.0,0.0442564663883343,0.0017085903010746,primary,ASMU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,7908.457608266244,5267.569078747894,-2640.888529518352,5267.569078747894,-2640.888529518352,haircut,haircut,-96.28795226856528,1.012175313700603,normal,False,False,False,7908.457608266244,5267.569078747894,-2640.888529518352,2026-04-03
AVL,AVGO,1.986849,369,ols,0.05229,150000,0.05229,False,False,33.939998626708984,0.05229,1.0,False,True,False,False,False,False,True,False,False,False,1.073003,0.377809,0.535931,0.281581,0.377809,0.325519,0.325519,0.49671225,0.5960547,0.5,0.5960547,0.325519,net_decay_annual,0.05229,ETF_LS,6854.718265677418,-3450.044903099036,6854.718265677418,-3450.044903099036,6854.718265677418,0.0,-0.0,6854.718265677418,core_leveraged,0.5,1.0,10304.763168776451,0.1945148202161807,3.0,1.0,0.0569727546453371,0.0021995225547014,primary,AVL,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-10304.763168776451,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-04-03
BOEU,BA,1.993382,237,ols,0.05177,10000,0.05177,False,False,33.249000549316406,0.05177,1.0,False,True,False,False,False,False,True,False,False,False,0.602165,0.194693,0.353718,0.123877,0.190478,0.142923,0.138708,0.4983455,0.5980146,0.5,0.5980146,0.142923,net_decay_annual,0.05177,ETF_LS,1618.1371506934345,-811.7546715548923,1618.1371506934345,-811.7546715548923,1618.1371506934345,0.0,-0.0,1618.1371506934345,core_leveraged,0.5,1.0,2429.8918222483267,0.0851940421365034,1.0,1.0,0.0134343340391492,0.0005186535372995,primary,BOEU,False,,,1.0,0.0,,False,0.0,0.0,1564.633803903973,1041.936131537408,-522.697672366565,1041.936131537408,-522.697672366565,haircut,haircut,-865.2580183443533,1.5530099223124396,normal,False,False,False,1564.633803903973,1041.936131537408,-522.697672366565,2026-04-03
FRDU,F,1.984709,175,ols,0.1030219999999999,10000,0.1030219999999999,False,False,24.42099952697754,0.1030219999999999,1.0,False,True,False,False,False,False,True,False,False,False,0.619758,0.206234,0.344266,0.115815,0.178606,0.103212,0.075584,0.49617725,0.5954127,0.5,0.5954127,0.103212,net_decay_annual,0.1030219999999999,ETF_LS,919.3193015103288,-463.20105441670734,919.3193015103288,-463.20105441670734,919.3193015103288,0.0,-0.0,919.3193015103288,core_leveraged,0.5,1.0,1382.5203559270362,0.0617244976965837,1.0,1.0,0.0076436490330099,0.000295095059963,primary,,False,,,1.0,0.0,,False,0.0,0.0,634.4499880626413,421.8832058193333,-212.5667822433079,421.8832058193333,-212.5667822433079,haircut,haircut,-748.0703678643949,2.0,normal,False,False,False,634.4499880626413,421.8832058193333,-212.5667822433079,2026-04-03
ELIL,LLY,1.992757,255,ols,0.104637,9000,0.104637,False,False,19.979999542236328,0.104637,1.0,False,True,False,False,False,False,True,False,False,False,0.846058,0.283361,0.375159,0.139219,0.283361,0.178724,0.178724,0.49818925,0.5978271,0.5,0.5978271,0.178724,net_decay_annual,0.104637,ETF_LS,2393.5356027181674,-1201.1176489246643,2393.5356027181674,-1201.1176489246643,2393.5356027181674,0.0,-0.0,2393.5356027181674,core_leveraged,0.5,1.0,3594.653251642832,0.1065594863145863,1.0,1.0,0.0198740421673589,0.0007672685702546,primary,ELIL,False,,,1.0,0.0,,False,0.0,0.0,2071.442335461892,1379.2904716580845,-692.1518638038077,1379.2904716580845,-692.1518638038077,haircut,haircut,-1523.21091618094,1.7353383148082144,normal,False,False,False,2071.442335461892,1379.2904716580845,-692.1518638038077,2026-04-03
MSFU,MSFT,1.991566,501,ols,0.036151,350000,0.036151,False,False,23.38999938964844,0.036151,1.0,False,True,False,False,False,False,True,False,False,False,0.48181,0.162392,0.241697,0.05768,0.162392,0.126241,0.126241,0.4978915,0.5974697999999999,0.5,0.5974697999999999,0.126241,net_decay_annual,0.036151,ETF_LS,1303.3906730725075,-654.455174005033,1303.3906730725075,-654.455174005033,1303.3906730725075,0.0,-0.0,1303.3906730725075,core_leveraged,0.5,1.0,1957.8458470775404,0.0753016337058593,3.0,1.0,0.0108244963277681,0.0004178966589279,primary,MSFU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-1957.8458470775404,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-04-03
MUU,MU,1.994272,369,ols,0.036489,100000,0.036489,False,False,140.42999267578125,0.036489,1.0,False,True,False,False,False,False,True,False,False,False,1.275161,0.520702,0.610565,0.369593,0.520702,0.484213,0.484213,0.498568,0.5982816,0.5,0.5982816,0.484213,net_decay_annual,0.036489,ETF_LS,15222.673455477878,-7633.198207404947,15222.673455477878,-7633.198207404947,15222.673455477878,0.0,-0.0,15222.673455477878,core_leveraged,0.5,1.0,22855.871662882822,0.2885347672122,2.0,1.0,0.126365055375586,0.0048785211660368,primary,MUU,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,31352.0494720862,20881.374305606267,-10470.675166479932,20881.374305606267,-10470.675166479932,haircut,haircut,8496.177809203371,0.7290072594211805,normal,False,False,False,31352.0494720862,20881.374305606267,-10470.675166479932,2026-04-03
ORCU,ORCL,2.003735,91,ols,0.139353,150000,0.139353,False,False,9.402000427246094,0.139353,1.0,False,True,False,False,False,False,True,False,False,False,1.079154,0.387849,0.514426,0.266119,0.310077,0.248496,0.170724,0.50093375,0.6011205,0.50093375,0.6011205,0.248496,net_decay_annual,0.139353,ETF_LS,4238.313202630921,-2115.20645326399,4238.313202630921,-2115.20645326399,4238.313202630921,0.0,-0.0,4238.313202630921,core_leveraged,0.5,1.0,6353.519655894911,0.1475499916230505,1.0,1.0,0.0351272038533038,0.0013561408016851,primary,ORCU,False,,,1.0,0.0,,False,0.0,0.0,3719.171265805515,2480.9890473989262,-1238.1822184065888,2480.9890473989262,-1238.1822184065888,haircut,haircut,-2634.348390089396,1.7083159665998433,normal,False,False,False,3719.171265805515,2480.9890473989262,-1238.1822184065888,2026-04-03
PALU,PANW,2.004541,255,ols,0.0505619999999999,200000,0.0505619999999999,False,False,13.026000022888184,0.0505619999999999,1.0,False,True,False,False,False,False,True,False,False,False,0.733589,0.245058,0.346632,0.120973,0.245058,0.194496,0.194496,0.50113525,0.6013623,0.50113525,0.6013623,0.194496,net_decay_annual,0.0505619999999999,ETF_LS,2975.8398714048817,-1484.5492665926422,2975.8398714048817,-1484.5492665926422,2975.8398714048817,0.0,-0.0,2975.8398714048817,core_leveraged,0.5,1.0,4460.389137997524,0.1154514698427302,2.0,1.0,0.0246605042561141,0.0009520574467444,primary,PALU,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,5736.546339123618,3827.254257862747,-1909.2920812608709,3827.254257862747,-1909.2920812608709,haircut,haircut,1276.1572011260942,0.7775391105232395,normal,False,False,False,5736.546339123618,3827.254257862747,-1909.2920812608709,2026-04-03
