ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_underlying_annual,vol_etf_annual,gross_decay_annual,net_decay_annual,net_edge_p50_annual,edge_used_for_prod_replay,blended_gross_decay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,keep_open,_plan_date
AMUU,AMD,2.007597,228,ols,0.018788,0.017612,0.0011759999999999,40000,0.0011759999999999,False,False,False,True,False,False,False,True,False,False,False,False,0.55559,1.313091,0.118879,0.117703,0.117703,net_decay_annual,,0.0011759999999999,ETF_LS,72458.47943307484,-36092.14370866007,72458.47943307484,-36092.14370866007,72458.47943307484,0.0,-0.0,72458.47943307484,core_leveraged,0.5,1.0,108550.62314173492,1.0,0.0,,False,0.0,0.0,108550.62314173492,72458.47943307484,-36092.14370866007,72458.47943307484,-36092.14370866007,haircut,haircut,0.0,1.0,False,2026-03-03
ASMU,ASML,2.017236,13,ols_short_history,0.061654,-0.025254,0.086908,700,0.086908,False,False,False,False,True,False,False,False,True,True,True,False,0.434008,0.823927,0.135231,0.0483229999999999,0.0483229999999999,net_decay_annual,,0.086908,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,True,2026-03-03
METU,META,1.998575,434,ols,0.065132,-0.028732,0.093864,450000,0.093864,False,False,False,False,True,False,False,False,True,True,False,False,0.353512,0.709575,0.113967,0.0201029999999999,0.0201029999999999,net_decay_annual,,0.093864,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,True,2026-03-03
YINN,FXI,2.973599,500,ols,0.01419,0.02221,0.0,350000,0.0,False,False,False,True,False,False,False,True,False,False,False,False,0.288062,0.858641,0.126349,0.126349,0.126349,net_decay_annual,,0.0,ETF_LS,68793.83526726044,-23134.87301659048,68793.83526726044,-23134.87301659048,68793.83526726044,0.0,-0.0,68793.83526726044,core_leveraged,0.5,1.0,91928.70828385092,1.0,0.0,,False,0.0,0.0,91928.70828385092,68793.83526726044,-23134.87301659048,68793.83526726044,-23134.87301659048,haircut,haircut,0.0,1.0,False,2026-03-03
SOXL,SOXX,2.960301,500,ols,0.009901,0.026499,0.0,2400000,0.0,False,False,False,True,False,False,False,True,False,False,False,False,0.37683,1.116484,0.13123,0.13123,0.13123,net_decay_annual,,0.0,ETF_LS,73676.00038879186,-24888.00983034896,73676.00038879186,-24888.00983034896,73676.00038879186,0.0,-0.0,73676.00038879186,core_leveraged,0.5,1.0,98564.01021914082,1.0,0.0,,False,0.0,0.0,98564.01021914082,73676.00038879186,-24888.00983034896,73676.00038879186,-24888.00983034896,haircut,haircut,0.0,1.0,False,2026-03-03
URAA,URA,1.931697,421,ols,0.0259249999999999,0.010475,0.0154499999999999,50000,0.0154499999999999,False,False,False,True,False,False,False,True,False,False,False,False,0.436764,0.884749,0.184189,0.168739,0.168739,net_decay_annual,,0.0154499999999999,ETF_LS,133369.27540784617,-69042.54415047815,133369.27540784617,-69042.54415047815,133369.27540784617,0.0,-0.0,133369.27540784617,core_leveraged,0.5,1.0,202411.81955832432,1.0,0.0,,False,0.0,0.0,202411.81955832432,133369.27540784617,-69042.54415047815,133369.27540784617,-69042.54415047815,haircut,haircut,0.0,1.0,False,2026-03-03
TSLT,TSLA,1.992724,500,ols,0.075868,-0.039468,0.115336,100000,0.115336,False,False,False,False,True,False,False,False,True,True,False,False,0.628178,1.252241,0.16403,0.048694,0.048694,net_decay_annual,,0.115336,ETF_LS,0.0,0.0,0.0,0.0,43808.77502280661,0.0,-0.0,43808.77502280661,core_leveraged,,,0.0,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,True,2026-03-03
ETU,ETHA,1.989684,337,ols,0.039285,-0.002885,0.04217,80000,0.04217,False,False,False,True,False,False,False,True,False,False,False,False,0.754895,1.531831,0.175295,0.133125,0.133125,net_decay_annual,,0.04217,ETF_LS,78430.11706193964,-39418.37852741422,78430.11706193964,-39418.37852741422,222973.24422001903,0.0,-0.0,222973.24422001903,core_leveraged,0.5,1.0,117848.49558935386,1.0,0.0,,False,0.0,0.0,117848.49558935386,78430.11706193964,-39418.37852741422,78430.11706193964,-39418.37852741422,haircut,haircut,0.0,1.0,False,2026-03-03
MSFX,MSFT,2.008065,500,ols,0.061346,-0.024946,0.086292,7000,0.086292,False,False,False,False,True,False,False,False,True,True,False,False,0.241208,0.485881,0.127439,0.0411469999999999,0.0411469999999999,net_decay_annual,,0.086292,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,True,2026-03-03
BMNU,BMNR,1.94325,107,ols,0.185953,-0.149553,0.3355059999999999,1400000,0.3355059999999999,False,False,False,False,True,False,False,False,False,True,False,False,8.364403,2.116509,0.675519,0.340013,0.340013,net_decay_annual,,0.3355059999999999,ETF_LS,242083.4264843285,-124576.57351567144,242083.4264843285,-124576.57351567144,287667.49599311873,0.0,-0.0,287667.49599311873,core_leveraged,0.5,1.0,366660.0,1.0,0.0,,False,0.0,0.0,366660.0,242083.4264843285,-124576.57351567144,242083.4264843285,-124576.57351567144,pair_cap,pair_cap,0.0,1.0,False,2026-03-03
