symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,14651.6105921472,14651.6105921472,1
DUST,flow_program,11307.3845976,11307.3845976,1
FAZ,flow_program,10177.397218799999,10177.397218799999,1
SDS,flow_program,9388.261113329998,9388.261113329998,1
ZSL,flow_program,9071.8997616,9071.8997616,1
LABD,flow_program,8594.711622,8594.711622,1
TSLQ,flow_program,8216.767529300001,8216.767529300001,1
SQQQ,flow_program,7676.155851839999,7676.155851839999,1
NVDQ,flow_program,6033.37177872,6033.37177872,1
SOXS,flow_program,3086.3499964,3086.3499964,1
EWV,flow_program,1986.3847217136,1986.3847217136,1
TSYY,flow_program,-59.6748295,59.6748295,1
NVYY,flow_program,-71.339205,71.339205,1
TQQY,flow_program,-352.3671018,352.3671018,1
