symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,15078.4348667904,15078.4348667904,1
DUST,flow_program,13911.058944,13911.058944,1
FAZ,flow_program,10136.1125789,10136.1125789,1
ZSL,flow_program,9476.559190799999,9476.559190799999,1
SDS,flow_program,9297.177271109998,9297.177271109998,1
LABD,flow_program,9015.3751275,9015.3751275,1
TSLQ,flow_program,7486.5790923,7486.5790923,1
SQQQ,flow_program,7214.905476000001,7214.905476000001,1
NVDQ,flow_program,5739.1455927,5739.1455927,1
SOXS,flow_program,2320.315646,2320.315646,1
EWV,flow_program,2195.8520106964,2195.8520106964,1
TSYY,flow_program,-60.621895620000004,60.621895620000004,1
NVYY,flow_program,-69.0363254,69.0363254,1
TQQY,flow_program,-369.259037686,369.259037686,1
